,Spectral centroid,Band Energy Ratio,Spectral Roll Off
38685,1818.551895,4.302515507,2932
38686,1930.292219,25.08776855,3685
38687,2463.876849,4.211487293,4216
38688,2486.97882,7.604137897,5674
38689,3260.931686,1.375726104,6205.333333
38690,2845.771624,1.534044981,4806.333333
38691,1910.064636,12.57588291,3516.333333
38692,1876.534484,12.70050907,3826.333333
38693,1997.506987,22.57253647,3930.333333
38694,1857.573778,19.8844223,3598.333333
38695,2165.624542,4.100324631,3633.666667
38696,1739.885631,16.92546272,3091.333333
38697,1925.309224,13.06627655,3212.333333
38698,3206.625244,4.08393383,7342.333333
38699,1899.975456,11.56845474,3168
38700,2422.592172,7.866295338,5409.666667
38701,1881.554441,5.074532986,3411.333333
38702,2409.250382,6.270155907,4432
38703,1642.187777,23.29963303,3004.333333
38704,2202.908546,7.654369831,4282.333333
38705,2300.250802,6.920261383,4204.666667
38706,1996.195126,6.669951439,3689.666667
38707,2819.244194,10.28285408,6902
38708,2461.514843,7.357680798,5012.333333
38709,2453.047092,16.01742744,5328.333333
38710,1459.923878,34.77223587,2765.333333
38711,1606.043961,36.27297211,3062
38712,2703.71847,7.215383053,6521.666667
38713,2061.530294,28.52694702,3502.666667
38714,2825.038538,6.819370747,6540.333333
38715,2404.348465,21.80220795,5947.333333
38716,1517.550802,26.46847916,2676.333333
38717,2924.643592,7.496581078,6719
38718,2893.311947,14.12440872,7193.666667
38719,2151.033182,18.66580772,4706.333333
38720,2072.030289,17.11904144,3905.666667
38721,1720.950341,22.52196312,3249
38722,1557.758467,23.52389336,2739
38723,1927.121987,9.197128296,3449.333333
38724,2359.072952,8.970446587,4337.666667
38725,2007.77543,11.9396944,3737.333333
38726,2669.26955,1.398162842,4259
38727,2657.133048,1.437849879,4123
38728,2846.143961,1.021752357,4462.333333
38729,2944.797247,2.09151125,5605.666667
38730,2058.502946,18.16394043,3764.666667
38731,2724.697106,9.130308151,6334.333333
38732,1977.641346,10.29001808,3641.333333
38733,2317.220736,6.467815399,4287.333333
38734,1556.748154,36.18488693,2903.333333
38735,2904.750839,0.842048764,4277.666667
38736,2621.554302,1.710466266,4135
38737,1945.601029,8.524618149,3487
38738,1501.672254,28.27667427,2690.666667
38739,3503.477742,4.398825645,7948.333333
38740,2667.581771,6.991470337,6446.666667
38741,2311.66988,8.821735382,4328.666667
38742,1658.326777,23.59493637,2962
38743,2965.508866,0.534485221,4279.333333
38744,2615.24603,1.149971962,3990.666667
38745,2821.2687,2.678317547,4881.666667
38746,1955.890765,13.55358601,3349.333333
38747,1853.200487,8.840909004,3241.666667
38748,2201.586485,3.770303488,3770.333333
38749,3002.151086,2.028462887,6191.333333
38750,1857.529871,5.928174019,3601.666667
38751,2189.770978,6.967614174,3783.666667
38752,2039.540021,6.158672333,3697
38753,2225.577163,11.39407158,4330
38754,2034.469451,17.02803421,4261
38755,2330.519911,3.405982018,3856.666667
38756,2314.609091,7.895356178,4422.333333
38757,1966.176051,30.12883186,3745
38758,2645.184276,3.344223022,4686
38759,2382.71396,5.398945808,4415
38760,1867.232479,21.85173035,3482
38761,2231.706505,3.56122756,3935
38762,2430.723966,2.094794273,4248
38763,2031.440028,2.635734081,3592
38764,1853.607534,9.777317047,3466.666667
38765,2054.513453,3.528972626,3517.333333
38766,2135.515859,3.739727736,3662.333333
38767,1759.484545,21.41303635,3112.666667
38768,2130.339875,8.233933449,3859.666667
38769,1712.971662,21.91070366,3024.666667
38770,1663.137902,22.00881386,3087.333333
38771,1833.284754,11.99864101,3360.666667
38772,2553.189006,4.692439556,5029.333333
38773,1773.091718,12.19424915,3016.333333
38774,2076.533505,6.105735302,3878.333333
38775,1836.809288,13.84230709,3160
38776,2230.086266,5.730208874,3946.333333
38777,1857.356704,6.379901409,3427
38778,2195.000027,3.699682951,3774
38779,1936.506831,6.746389866,3457.333333
38780,1930.181256,11.36662388,3328.666667
38781,2343.921134,7.927404881,4466.666667
38782,3527.852332,3.67604208,7336
38783,1533.043908,39.35822678,2794
38784,1561.345023,25.2480011,2908.333333
38785,2330.579572,11.18448257,4608.333333
38786,2694.857577,14.81958961,6772
38787,2466.876413,17.53843498,5855
38788,1860.288667,30.11144638,3481.666667
38789,1950.460565,25.91917419,3509
38790,2119.713546,21.45256615,4341.333333
38791,1910.246526,12.81134701,2985.333333
38792,1958.437414,15.0174284,3478.333333
38793,2416.307155,14.48904705,6050.666667
38794,3095.6762,4.809762955,6939
38795,1944.808088,15.70802212,3296
38796,2238.395859,4.080629349,4115.333333
38797,1626.09178,15.44661999,3063.666667
38798,2157.81675,21.12302971,4366
38799,2321.450455,19.99925804,5107.333333
38800,1613.965266,18.57178879,2811.666667
38801,1860.497245,13.70519543,3397
38802,1949.283131,5.197456837,3358.333333
38803,1850.406242,4.683665276,3303.333333
38804,2319.762851,6.331002712,4299.666667
38805,2199.469165,6.049050331,4269.333333
38806,2368.66536,15.77740288,5432
38807,2163.745794,23.98481178,3997.666667
38808,2248.64386,11.60187531,4002.333333
38809,1793.211276,32.13097382,3264
38810,3212.975325,6.793804169,7383
38811,2030.208854,23.60359001,3694.333333
38812,1962.246877,11.78844357,3346
38813,2054.672383,17.71242142,3676.666667
38814,4215.304067,2.445343733,8084.333333
38815,3058.627187,0.799955606,6028.333333
38816,1487.581206,40.48440933,3099.666667
38817,2347.389579,10.56284809,4624.666667
38818,2020.413136,18.35692978,4064.333333
38819,2687.073218,20.19363785,7059.333333
38820,2189.887838,4.678173065,3671
38821,1208.222894,155.7606354,1711.333333
38822,2756.501854,5.365818501,5995.333333
38823,1836.040457,24.17551804,3079.333333
38824,2069.556196,26.32656288,4016.666667
38825,2225.592701,9.890719414,4423
38826,1528.058185,21.99498749,2951.666667
38827,1489.240257,12.7911911,2749
38828,1900.100337,27.51005554,3207.333333
38829,2058.518901,11.72324657,3955.333333
38830,2360.810926,26.49222374,6212.333333
38831,1723.899486,41.28776932,3082
38832,1754.002929,12.20833492,3121.333333
38833,2039.496257,8.588187218,3656.333333
38834,1490.091687,49.80270767,2725.333333
38835,3010.641046,4.798661709,6651.333333
38836,2390.429098,6.876101971,5156.666667
38837,1847.439216,5.1025877,2988
38838,1689.116886,18.531353,3211.666667
38839,1846.082973,30.73055267,3442.333333
38840,2031.763779,13.2665081,4339.333333
38841,2044.511552,23.06858635,4253
38842,2210.90012,43.1078949,5736.666667
38843,1951.572665,32.61790466,3261
38844,2747.842735,5.771867752,5817
38845,1868.814022,10.38152122,3237.666667
38846,1584.011392,23.75907898,2803.666667
38847,2367.698552,17.30483627,5013
38848,1503.37665,22.83985138,2574
38849,1824.484941,17.61263275,3321.333333
38850,2150.546293,24.42243576,4302
38851,2139.526642,37.98959732,5290.333333
38852,2592.859264,11.18343639,6088.333333
38853,2057.179303,31.0240593,4533.333333
38854,3038.587272,5.25969553,6787.333333
38855,1681.764557,24.88075447,3175.666667
38856,1456.411991,91.60059357,2391.666667
38857,2012.83575,7.682951927,4005.333333
38858,1487.673798,12.50073147,2715.666667
38859,1735.164987,19.15024757,3053
38860,1919.966074,26.67799759,3123.333333
38861,1732.38009,50.24758911,3167
38862,2306.44017,9.132081985,4830.333333
38863,1966.428402,31.21093178,4201.666667
38864,3107.40857,3.870262146,5806
38865,2240.429214,39.91887665,4518.666667
38866,2050.092295,27.65794563,4280.333333
38867,2386.876177,21.70608139,5781.333333
38868,2270.597997,10.91278553,4701.333333
38869,1589.753174,21.3526268,2731.333333
38870,2176.260255,6.726411343,4232.333333
38871,1834.097405,8.091570854,3437
38872,2895.14286,8.203845024,5843
38873,1376.011897,85.47634888,2045.666667
38874,1923.347503,20.44013596,4059
38875,2153.313695,30.82273674,4821.666667
38876,1711.274525,59.00597,3109
38877,1286.229687,407.3931885,1643.666667
38878,2985.589828,3.695094109,5947.333333
38879,2101.927515,31.01721191,4528.333333
38880,1995.830956,40.11838531,4046.666667
38881,2894.358953,5.037150383,5955.666667
38882,1746.229041,23.40714645,3192
38883,1844.221118,17.59520912,3348.333333
38884,2304.51094,16.73781395,4662.333333
38885,1524.123774,72.12947083,2644.666667
38886,2321.009386,19.79175377,5340.333333
38887,2055.085829,12.96760273,4204.333333
38888,1942.451711,40.93662643,4496.666667
38889,2941.808612,3.414525986,5711.666667
38890,2278.28761,13.09753513,5216.333333
38891,1993.434852,11.89927292,3488.666667
38892,2672.614255,12.58068466,5966.666667
38893,1977.300105,18.38721466,3125.333333
38894,1736.629891,27.82283401,2964
38895,1603.592052,99.63456726,3075.333333
38896,1669.888103,87.02542114,3049.666667
38897,2010.706116,14.70788193,4167.333333
38898,1914.175874,50.73859787,3753
38899,1776.555712,16.88651085,3120
38900,1871.620338,28.96325684,3398.666667
38901,1939.6364,18.70619011,3381.333333
38902,1502.939588,31.71311188,2466
38903,1681.727132,13.89322186,3045.666667
38904,2054.188573,23.40065384,4348.333333
38905,1737.022612,23.20021439,3353.333333
38906,1916.53081,28.30724144,3585
38907,1733.414228,9.935090065,2948
38908,1879.626854,21.16018486,3629
38909,1742.041436,28.25800896,3137.333333
38910,1732.86312,33.6880455,3079.666667
38911,1884.157594,26.84339333,3454.666667
38912,2132.449447,22.61553955,4437.333333
38913,2206.75328,30.22572708,5105.333333
38914,1616.623841,16.21554947,2467.333333
38915,1728.3623,27.76843834,2791
38916,1606.913514,41.69417953,2928.333333
38917,2329.40533,16.9969101,4774.666667
38918,1753.746502,42.57028198,2954.333333
38919,2420.459614,22.31267929,5887
38920,2623.018849,16.16871262,6262
38921,2679.751556,14.40542412,5766.333333
38922,2392.571364,19.91950798,5506.666667
38923,2103.661867,50.99357224,4727.333333
38924,1644.819553,37.21076965,3035
38925,1412.007136,35.28543472,2348
38926,1643.558679,89.06089783,2742.333333
38927,2032.578906,28.10279846,3964
38928,2753.409522,12.05527115,6251
38929,1516.359126,58.19077301,2610.333333
38930,1319.56874,207.7458191,1920
38931,1681.35945,44.40844727,3253
38932,2386.120209,44.31775665,5736.666667
38933,2593.73726,21.32919884,6165
38934,1865.9267,27.93255997,3316.666667
38935,1945.629954,28.11026955,4045.666667
38936,2166.321628,26.1472168,5142.333333
38937,1967.534075,21.89748955,3996.666667
38938,1847.027294,37.71963501,3254
38939,1460.894543,120.8684235,2062
38940,1821.912942,18.79570007,3425.333333
38941,1839.909921,27.07238007,3339.666667
38942,1862.877261,56.64276123,3408
38943,1593.457079,11.77295399,3059.666667
38944,1690.098584,70.54199219,3106
38945,1452.399214,199.119339,2058.666667
38946,1873.556141,87.5509491,4585.666667
38947,2256.853361,21.29839897,4838.333333
38948,1638.104973,41.17164612,3296.333333
38949,1567.489531,47.46088409,2910.333333
38950,2575.181329,4.655582905,5212.666667
38951,1845.334178,14.97690201,3378
38952,2227.523319,15.53891087,5143
38953,1477.583389,50.50495529,2178
38954,1956.917073,26.24027252,4003.666667
38955,1899.805274,34.81512833,3387
38956,2540.684448,28.44623947,5868.333333
38957,2224.172137,18.21507835,5129.666667
38958,3458.287684,0.869953454,5571.666667
38959,1614.516896,39.11626816,2808
38960,1928.345593,17.51745224,3730
38961,1599.052989,43.92274857,2697.333333
38962,1573.681561,24.00783157,2695.666667
38963,1535.669517,42.59023666,2677
38964,2091.641844,24.83382988,4647
38965,1634.602878,86.31185913,2917
38966,1855.043061,51.93665695,3241.666667
38967,2090.032881,27.14340782,4541.333333
38968,2295.445494,27.38143158,5522.333333
38969,3296.269479,8.069760323,7594.666667
38970,3116.842226,1.112056017,4986.666667
38971,1990.461654,111.8107986,4537.666667
38972,1522.140597,52.52237701,2384.333333
38973,2192.137619,16.20018959,4505.333333
38974,1917.137058,34.55250931,4154.333333
38975,1677.760087,30.90000153,2676.666667
38976,2423.930766,21.49198914,5884.333333
38977,2071.75534,36.56453323,4701
38978,1693.891057,25.65678596,3172.333333
38979,1669.476021,72.06002045,2884.333333
38980,2693.371716,11.85926914,6048
38981,2014.985586,11.0055418,3841.666667
38982,1991.382294,28.04059219,3937.333333
38983,2269.575304,21.89487267,5410
38984,2601.777637,11.23622322,5453
38985,2331.872479,9.947781563,4786.666667
38986,1827.540226,25.15886307,3107
38987,1933.744514,16.6685791,3376.666667
38988,1459.583832,41.02375793,2720.666667
38989,2242.632849,17.08414459,4911
38990,2667.748128,15.86035919,6332
38991,3064.50876,2.287863731,5450
38992,2183.522696,13.96979809,4521.333333
38993,1690.645785,34.33589172,3337
38994,1632.150547,41.84756088,2869.333333
38995,2222.682123,17.58252525,4586.333333
38996,2108.149479,26.92549133,4538
38997,1713.989151,22.82652473,3082.666667
38998,1905.930619,21.93618584,3294
38999,1683.879212,13.07321548,2747.333333
39000,1734.829772,21.53027153,2962.666667
39001,1634.709657,57.30098724,2714.333333
39002,2040.853883,61.02278519,4220.333333
