,Spectral Centroid,Band Energy Ratio,Spectral Rolloff
53223,1398.315177,6.906145,4858.0
53224,1591.559266,34.525986,3244.666667
53225,1169.295377,24.92505,3771.333333
53226,1064.01508,38.608967,2333.666667
53227,1569.263684,16.98836,4253.666667
53228,1449.921982,5.1143475,5306.0
53229,1083.483147,11.491471,4231.333333
53230,905.7375406,12.600172,4480.333333
53231,1117.255048,17.433233,4406.0
53232,1304.248771,48.207947,2306.333333
53233,1448.013353,9.216851,4436.0
53234,1274.676154,38.812668,2371.666667
53235,1460.617969,11.111414,3922.666667
53236,1221.105774,4.5730367,4905.666667
53237,1223.683621,29.276579,3121.0
53238,1496.927796,6.5566463,4966.666667
53239,2056.877831,7.940061,5091.333333
53240,1879.572078,28.750801,2211.0
53241,1449.168038,8.819604,4793.666667
53242,990.7580901,20.529072,3337.333333
53243,1505.388537,32.253975,3317.333333
53244,1067.604881,30.561018,3316.666667
53245,1763.904862,21.529629,4255.666667
53246,1619.115974,36.11409,2554.333333
53247,1088.128856,24.370182,2644.0
53248,1756.067686,15.423319,4300.333333
53249,1290.758703,20.825396,3482.666667
53250,900.0799611,19.500172,4364.0
53251,1258.682368,22.313017,4430.0
53252,1379.121346,35.989597,3193.0
53253,1708.036013,14.901729,4638.333333
53254,1102.423211,24.631977,3419.333333
53255,1521.202396,13.962665,4791.333333
53256,1145.007956,9.587609,4242.666667
53257,1591.781659,11.410547,3027.666667
53258,1016.774205,21.536594,2893.0
53259,1068.739787,8.115675,4727.333333
53260,1683.510945,34.665413,4010.333333
53261,1256.678049,21.93662,4585.666667
53262,1269.609907,14.441332,3149.666667
53263,1671.468577,15.491379,4379.666667
53264,1513.495783,14.746108,4171.333333
53265,1079.095883,52.016155,2008.666667
53266,1008.822464,10.055743,4547.333333
53267,1561.285732,37.664364,3770.0
53268,948.2298474,9.1208105,4610.666667
53269,1433.7484,11.6746025,4656.0
53270,1624.53249,20.062683,4326.0
53271,1074.221769,19.452656,4518.333333
53272,1293.363547,13.585799,4540.666667
53273,1716.842128,20.188978,2625.333333
53274,1104.552214,28.653858,3690.333333
53275,1748.269063,51.219906,2770.666667
53276,1280.755584,23.44572,3688.0
53277,1679.808709,45.05167,2088.0
53278,1206.543796,23.810411,3623.0
53279,1404.276498,15.675374,3953.0
53280,1461.760221,11.373466,4605.0
53281,1397.854646,17.460325,4561.0
53282,1382.3179,55.255817,2219.333333
53283,1621.520665,94.28849,1646.0
53284,1053.601649,23.341116,2514.333333
53285,1390.84946,10.260041,4791.0
53286,995.9758038,10.49763,4761.333333
53287,862.0572878,76.43708,2126.333333
53288,1318.551541,26.569012,2257.666667
53289,1428.339349,33.910606,2846.333333
53290,1227.10246,24.732132,2323.333333
53291,959.666534,14.515414,4404.333333
53292,1716.839693,24.177675,2393.666667
53293,1132.013213,45.42732,2134.0
53294,1283.112019,63.885693,2087.0
53295,948.0848371,19.224058,2494.0
53296,1204.186805,17.354296,4280.0
53297,2080.768949,63.31685,2608.0
53298,1553.514353,13.421566,4407.666667
53299,1529.387688,28.79468,2714.333333
53300,1506.03197,85.33028,1931.666667
53301,1482.095602,18.324518,4409.666667
53302,1240.863748,57.4417,2625.333333
53303,956.046421,44.55575,2620.0
53304,1299.163047,32.25413,2304.333333
53305,1348.000599,21.26951,4318.0
53306,1044.729537,12.0960245,2415.666667
53307,969.2485258,25.441813,3091.0
53308,1440.209548,17.155025,4515.666667
53309,1639.809847,34.200394,2291.0
53310,1534.830175,16.390228,3727.0
53311,1518.083487,31.63612,3438.666667
53312,1464.833134,12.197722,4577.0
53313,1078.888809,23.85786,2981.333333
53314,1106.925878,39.90154,2671.0
53315,1375.137878,15.730549,3250.333333
53316,1458.295645,20.943785,4223.0
53317,1069.008017,16.170103,4088.666667
53318,991.7210543,22.268362,4423.666667
53319,1288.509877,9.375502,4484.0
53320,1136.276469,22.43347,4013.0
53321,1284.064823,26.645084,2645.666667
53322,1258.693972,16.12891,3944.333333
53323,1001.161857,11.63625,4658.333333
53324,1772.994226,5.8829336,5069.0
53325,1807.042683,33.825996,2661.666667
53326,1446.305327,51.73063,2406.0
53327,1045.467395,16.98808,4474.333333
53328,984.465209,72.17223,1836.333333
53329,1122.356385,33.397896,3425.333333
53330,1534.218013,23.799858,2351.0
53331,1449.767593,27.2435,2616.0
53332,1601.74491,15.885937,4313.666667
53333,1529.695785,10.23747,3889.0
53334,1191.357482,11.641779,4502.333333
53335,1062.748676,8.533066,5223.0
53336,1659.855372,9.596547,4804.0
53337,1295.44934,17.199495,4640.666667
53338,1736.174984,13.993624,4543.333333
53339,1065.904109,35.147427,2949.0
53340,1107.215809,8.593483,3857.333333
53341,1496.959363,34.662914,2714.0
53342,1342.773796,14.696013,4360.666667
53343,981.1651444,19.689217,4213.0
53344,1568.305595,21.747295,2337.666667
53345,1915.53122,9.717818,4534.666667
53346,1269.822205,32.220352,3762.666667
53347,1220.135497,44.896732,2283.666667
53348,1391.72173,56.976696,2095.666667
53349,1662.931282,15.902042,4773.0
53350,1555.418069,59.628593,2507.333333
53351,1528.916818,19.225828,4364.0
53352,1571.204824,20.849184,4475.0
53353,1572.396627,48.868614,2163.333333
53354,1578.756103,12.568745,3306.0
53355,1081.059983,8.978097,4527.0
53356,1277.71037,16.842659,4580.333333
53357,1258.406598,19.233679,3465.0
53358,1609.348434,6.1354012,4623.0
53359,1521.268239,18.467216,4381.0
53360,1465.444298,39.040836,3110.0
53361,1314.395515,12.768151,4544.0
53362,1413.064722,15.544034,4515.0
53363,1591.927163,8.24595,4777.666667
53364,1689.266454,11.454119,4682.333333
53365,1806.61326,48.906704,2678.0
53366,1417.14595,6.53518,4658.666667
53367,1395.776471,29.469042,4204.333333
53368,1162.647743,31.408766,3377.333333
53369,1354.727587,5.838687,5094.0
53370,1219.772495,40.068295,2694.0
53371,1535.284545,26.73072,3072.666667
53372,1745.356698,19.169868,4681.0
53373,1000.36884,32.88447,3460.333333
53374,1164.530942,155.23907,1635.666667
53375,1511.127951,28.046484,2294.333333
53376,1528.187481,33.055557,3708.333333
53377,1259.547965,11.92764,3689.0
53378,1119.345381,22.173615,3724.0
53379,1295.743312,14.4549265,3403.333333
53380,992.4789892,27.158258,3096.666667
53381,1322.241513,11.079626,4955.333333
53382,1515.207715,128.30032,1641.333333
53383,945.9601894,29.155615,2338.333333
53384,1528.109729,14.066163,4685.333333
53385,1407.913845,11.755553,4716.333333
53386,1447.814405,31.869667,3086.666667
53387,1568.097836,23.483685,2362.0
53388,1282.771124,91.86013,1752.666667
53389,1427.268486,40.755127,2329.666667
53390,1390.989731,16.756075,4130.666667
53391,1739.801392,17.920624,3832.333333
53392,1091.584505,74.58881,1958.0
53393,1029.005389,21.962748,4628.0
53394,1448.061487,17.1805,4693.666667
53395,1545.711573,16.67324,4186.666667
53396,1376.316577,18.51651,2424.333333
53397,1253.982057,23.675625,3102.0
53398,1916.324397,40.046574,2506.0
53399,1192.180881,69.54805,2218.666667
53400,1404.087843,18.772352,4325.333333
53401,1262.160452,30.10715,3094.0
53402,969.1535163,13.219184,3495.666667
53403,1068.223172,12.474285,3799.333333
53404,1802.046445,86.582344,1917.666667
53405,1286.342854,26.214046,2486.666667
53406,1583.057888,7.9721375,4839.333333
53407,1421.431884,23.735882,3489.333333
53408,1990.609513,55.772728,2072.666667
53409,1008.35572,37.537037,2659.0
53410,1449.349535,61.42187,2493.0
53411,1171.038729,13.746202,4646.666667
53412,1428.747202,4.563714,4739.333333
53413,1156.194527,29.263441,3464.666667
53414,1438.217224,22.997923,3805.0
53415,1262.716664,9.556578,4542.333333
53416,1779.513914,8.638343,4347.0
53417,1308.97005,16.366491,3024.0
53418,1105.261866,12.019714,4708.333333
53419,976.239971,9.1405945,4701.666667
53420,1043.27577,9.175322,4722.0
53421,1420.430982,9.786205,4036.333333
53422,1129.717278,7.949882,4864.333333
53423,1546.722341,6.784303,4747.666667
53424,1796.329913,21.762266,4215.0
53425,1076.698135,12.261274,3490.333333
53426,1262.240683,42.504944,2370.666667
53427,1459.396393,53.83709,2414.333333
53428,1031.631309,5.5157757,4982.666667
53429,1028.218821,11.515284,3315.666667
53430,1518.527097,7.6317406,5003.666667
53431,1025.257695,31.005894,3342.666667
53432,1567.579697,19.087732,3264.333333
53433,1267.44163,27.802689,2554.0
53434,1302.666011,33.13903,2078.0
53435,980.7570735,9.891179,4394.333333
53436,1594.38702,4.58626,5357.666667
53437,1915.144276,9.17805,3757.333333
