,Mean,Mode,Median,Standard Deviation,Zero Crossing Rate,RMS,Ampl. Env,Human/Robo
41818,487.04,0.0,0.0,3183.0,6073,3786.2405523157136,29972.0,1
41819,469.04,0.0,0.0,3079.36,5548,3868.1598415784215,29972.0,1
41820,576.97,0.0,0.0,3206.74,6619,3710.3528821393793,30015.0,1
41821,469.84,0.0,2.0,2888.11,7855,3232.253028461726,30015.0,1
41822,494.13,0.0,0.0,3255.63,9124,2983.144854008937,29478.0,1
41823,521.8,-1.0,47.0,3308.66,9398,3691.4355893066863,30047.0,1
41824,403.36,0.0,0.0,2924.21,7234,3997.779700033507,30047.0,1
41825,398.07,0.0,0.0,2830.45,5557,4038.189599313039,29982.0,1
41826,488.8,0.0,9.0,3131.92,6893,3118.897871043552,29982.0,1
41827,478.32,-1.0,48.0,3430.6,8931,3380.9287200412846,30043.0,1
41828,509.27,0.0,10.0,3372.87,8159,3312.9717052821325,30043.0,1
41829,428.02,0.0,0.0,2866.49,4801,3146.394735248583,29625.0,1
41830,439.58,0.0,0.0,3020.73,6206,3523.550133033444,29817.0,1
41831,571.69,24.0,73.0,3217.46,8206,3762.67008386332,29817.0,1
41832,467.82,0.0,2.0,3032.02,6087,3273.702692670793,30137.0,1
41833,580.03,0.0,32.0,3433.77,6755,3092.530560883756,30137.0,1
41834,416.2,0.0,0.0,3022.11,6770,3362.682601733324,30091.0,1
41835,405.1,0.0,0.0,2713.87,5864,3625.0389501355694,30091.0,1
41836,584.92,0.0,43.0,3381.15,5905,3875.737147950052,30263.0,1
41837,538.19,4.0,57.0,3343.96,8923,3941.706498459772,30263.0,1
41838,446.45,0.0,41.0,3046.83,11014,3477.573549186271,30635.0,1
41839,326.33,0.0,0.0,2840.05,8808,3463.634009245204,30635.0,1
41840,355.51,0.0,0.0,2889.53,6898,3547.630644528824,30535.0,1
41841,535.42,10.0,52.0,3437.92,9757,3995.300693314585,29651.0,1
41842,414.59,0.0,0.0,3100.6,8582,3595.7232332313897,29592.0,1
41843,386.43,0.0,0.0,3121.2,5373,3706.365161448613,29674.0,1
41844,375.39,0.0,0.0,3258.96,7064,3745.976719094768,30307.0,1
41845,385.97,0.0,0.0,2905.16,7070,3506.986351555991,30307.0,1
41846,437.66,0.0,0.0,2860.14,5414,3616.851610171476,29762.0,1
41847,511.51,0.0,0.0,3136.67,7278,3422.4886500907496,29762.0,1
41848,549.52,0.0,42.0,3201.62,8044,2878.189342277537,28257.0,1
41849,451.64,0.0,0.0,2847.49,5464,3035.5647678809296,28257.0,1
41850,393.95,0.0,0.0,2818.16,6697,3303.881329587974,29877.0,1
41851,401.19,0.0,0.0,2780.11,5589,3711.127417645479,29877.0,1
41852,507.56,0.0,14.0,3283.27,8588,4104.258077899099,29977.0,1
41853,324.29,0.0,0.0,2726.3,8644,3790.55398457798,29977.0,1
41854,390.1,0.0,0.0,2723.21,8029,3523.0065767750134,26047.0,1
41855,557.32,25.0,70.0,3308.36,9506,3426.346729389774,27281.0,1
41856,551.66,0.0,34.0,3265.95,8388,3824.2900478389447,30085.0,1
41857,603.87,0.0,47.0,3357.14,7558,3672.964963078194,30085.0,1
41858,397.71,0.0,0.0,2922.45,6285,3258.102243638158,30338.0,1
41859,612.1,14.0,50.0,3653.21,7633,3956.471597269466,30006.0,1
41860,355.13,0.0,0.0,2819.92,8847,3629.232256276801,29964.0,1
41861,328.21,0.0,0.0,2845.98,8576,3568.4372658069806,28031.0,1
41862,547.92,0.0,0.0,3494.34,7113,4293.424546908913,30009.0,1
41863,555.82,-3.0,54.0,3263.06,9493,4297.428590448013,30009.0,1
41864,567.05,0.0,64.0,3218.47,9738,3552.0894625558067,30189.0,1
41865,570.71,0.0,20.0,3119.29,7337,3400.388671902081,30189.0,1
41866,409.05,0.0,0.0,2689.84,6602,3842.217168510911,29798.0,1
41867,325.1,0.0,0.0,2487.54,6702,4385.862820472159,29798.0,1
41868,570.59,0.0,12.0,3264.0,6910,3005.390525372701,29448.0,1
41869,441.25,0.0,0.0,2827.89,6589,3243.902080827965,29577.0,1
41870,435.12,0.0,0.0,2627.44,4779,3623.1579526705705,29577.0,1
41871,468.64,0.0,0.0,2894.23,6732,2648.500934491057,26806.0,1
41872,351.67,0.0,0.0,2537.03,6233,2993.711535869814,26564.0,1
41873,459.77,0.0,0.0,2938.42,5612,3272.357217664355,27510.0,1
41874,570.5,0.0,0.0,3261.46,6736,3341.239888125365,29604.0,1
41875,503.64,0.0,0.0,2997.66,6931,3805.7983196696064,29990.0,1
41876,393.92,0.0,0.0,2716.7,6000,3318.490358581745,29990.0,1
41877,508.8,4.0,35.0,3434.77,8869,3472.8643019847464,29835.0,1
41878,579.76,-4.0,72.0,3434.02,8878,3403.8612912397,29835.0,1
41879,389.35,0.0,0.0,2807.19,6673,3518.28124657481,29792.0,1
41880,340.14,0.0,0.0,2564.12,6590,3776.802770863207,29792.0,1
41881,453.37,0.0,1.0,2983.74,8485,3524.7742466716927,30047.0,1
41882,490.05,0.0,1.0,3125.43,7999,3767.2832572027287,30047.0,1
41883,592.84,0.0,56.0,3357.96,7366,3337.205610986533,28639.0,1
41884,529.03,0.0,3.0,3620.25,6368,2994.539408657031,27856.0,1
41885,440.28,0.0,0.0,3463.04,4659,3579.407226064114,27474.0,1
41886,420.01,0.0,2.0,2944.48,7693,3233.4970156163745,27492.0,1
41887,397.02,0.0,0.0,3022.74,10072,3315.3013905224366,29780.0,1
41888,366.17,0.0,0.0,3147.2,8978,3457.821101503084,29780.0,1
41889,345.72,0.0,0.0,2951.48,6720,2805.0852714311554,27060.0,1
41890,355.08,0.0,0.0,2694.66,7538,2758.886141180893,29762.0,1
41891,429.6,0.0,2.0,3040.99,7813,3300.2017711043063,29762.0,1
41892,367.74,0.0,0.0,2909.16,5500,3416.71914561323,30003.0,1
41893,339.77,0.0,0.0,2511.62,5556,2908.8403909461927,30003.0,1
41894,505.07,0.0,51.0,3306.76,7596,3587.8794823683806,29612.0,1
41895,460.28,0.0,26.0,3027.56,9690,3371.154406134492,28849.0,1
41896,326.51,0.0,0.0,2674.09,7317,3828.387856526556,29555.0,1
41897,445.26,0.0,0.0,2935.44,4870,3475.3576736790706,29555.0,1
